SnapshotNumber,Time_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,LookbackTime_Gyr,MainHaloIdx,MainSubhaloIdx
72,4.992162284945693,1.2484726142451428,0.4447463552211064,269.43537800892875,76.84493462420572,8.828367514217955,0,0
73,5.127463975584815,1.2062580807810006,0.4532561302374954,271.908724503266,79.7415096288025,8.693065823578834,0,0
74,5.301118608921481,1.1546027123602154,0.4641226868709222,273.4424205274555,82.13298764396984,8.519411190242169,0,0
75,5.443716379840262,1.1141505637653806,0.4730032085410998,273.46187976850103,83.0417490645779,8.376813419323389,0,0
76,5.589624137566063,1.0744578945476742,0.4820536500780824,273.311922679314,83.83085721710958,8.230905661597586,0,0
77,5.73888049707254,1.035510445664141,0.4912772627279358,273.3363291850322,84.84401199095402,8.081649302091112,0,0
78,5.930215178562357,0.987852810815766,0.5030553542792862,271.8441901840924,84.76820775888056,7.89031462060129,0,0
79,6.087135431528504,0.9505313515850328,0.5126808134549512,268.95494363961257,83.16027092620548,7.733394367635146,0,0
80,6.207093384097111,0.9230008161779087,0.5200205801199638,267.2288539892667,82.3955302289828,7.6134364150665395,0,0
81,6.370083836372647,0.8868969375752482,0.5299706518603222,265.2743106502619,81.73720928460637,7.450445962791003,0,0
82,6.536579634205233,0.8514709006246495,0.5401111082343341,263.36367703370684,81.17313843764123,7.2839501649584175,0,0
83,6.706603691236406,0.8167099790118506,0.5504455920608321,261.91966942107064,81.06925168430733,7.113926107927242,0,0
84,6.836449148310662,0.7910682489463392,0.5583260161014446,260.694352894806,80.88071771615795,6.984080650852988,0,0
85,7.012693145756433,0.7574413726158526,0.5690090239036288,259.17081525407747,80.79195578435679,6.807836653407216,0,0
86,7.147221247683246,0.7326361820223115,0.5771552102951079,258.8162173101891,81.48805219479429,6.673308551480401,0,0
87,7.329727457563047,0.7001063537185233,0.5881984958251407,257.87625901023955,82.02066881670369,6.490802341600602,0,0
88,7.468962790806978,0.6761104112134777,0.5966194072358371,257.6630868724583,82.941042632854,6.351567008356673,0,0
89,7.657754221443943,0.6446418406845371,0.6080351206337894,256.6933570331012,83.57242934908227,6.1627755777197075,0,0
90,7.80170653839661,0.6214287452425136,0.616740021992414,256.1014223119863,84.21023299740851,6.018823260767039,0,0
91,7.947679589081643,0.5985432881875667,0.6255695465925124,255.32962703521898,84.70749457501303,5.872850210082008,0,0
92,8.095671082722221,0.5759808451078874,0.6345254785958663,254.34248282421441,85.02082661469284,5.724858716441427,0,0
93,8.296126559325902,0.5463921831410221,0.6466664866145445,253.02620259150302,85.51191330237498,5.5244032398377465,0,0
94,8.448811765562718,0.524565820433923,0.6559244517992534,251.85719693113398,85.71898882695491,5.371718033600931,0,0
95,8.603498656228629,0.5030475232448832,0.6653149581332802,250.49082839209305,85.75643218863551,5.217031142935019,0,0
96,8.760179450310375,0.4818329434209512,0.6748399031346985,248.9405755221325,85.6398916955154,5.060350348853275,0,0
97,8.918845098217657,0.4609177941806475,0.684501211487295,247.5590133835859,85.73324679976564,4.901684700945991,0,0
98,9.079485288786328,0.4402978492477432,0.6943008354294861,246.30827891082558,85.9739605578698,4.741044510377321,0,0
99,9.242088459951992,0.4199689419972665,0.7042407551488017,244.84811023359225,86.04311144455744,4.5784413392116585,0,0
100,9.406641813093387,0.3999269646135635,0.7143229791820179,242.84470990746533,85.56792636492514,4.413887986070262,0,0
101,9.573131331020738,0.38016786726023866,0.7245495448210172,241.25995811185462,85.5538597742998,4.247398468142912,0,0
102,9.741541799560094,0.3606876572618167,0.7349225185244588,240.18978780572246,86.1144688552647,4.078987999603555,0,0
103,9.854874595547287,0.3478538418581776,0.7419202059930923,239.5768546945528,86.61587892318171,3.9656552036163633,0,0
104,10.026449669104904,0.32882972420595435,0.7525418658117033,238.15712166057682,86.86726505256462,3.794080130058747,0,0
105,10.19989947196752,0.31007412012783386,0.7633155900388464,236.85042812740872,87.27435747641668,3.62063032719613,0,0
106,10.375204641492832,0.2915832397219245,0.7742435556962617,235.4269131844385,87.58396882125722,3.4453251576708173,0,0
107,10.552344763553133,0.2733533465784399,0.7853279709729014,234.02309934878681,87.94214058119375,3.268185035610516,0,0
108,10.67144705609926,0.2613432561610123,0.7928056023731169,233.005567938771,88.09534202058953,3.1490827430643904,0,0
109,10.85159733936031,0.2435401815546703,0.8041557601699713,231.56521030807102,88.46691616239036,2.968932459803338,0,0
110,11.033523308792786,0.2259883862601977,0.8156684118765909,230.12331352836185,88.87150373116907,2.787006490370864,0,0
111,11.155782009390867,0.2144250355144945,0.823434934850752,229.26306115924848,89.27356955821102,2.6647477897727825,0,0
112,11.340613907183545,0.19728418237600984,0.8352235958012078,228.34671780266945,90.34703223600107,2.479915891980104,0,0
113,11.527155884914244,0.1803852617057493,0.8471810284677068,230.27876757829614,94.95529573329945,2.2933739142494045,0,0
114,11.652454415336607,0.1692520332436107,0.8552476040823377,231.65302975297027,98.27190397481256,2.168075383827045,0,0
115,11.841788296065106,0.15274876890238098,0.8674917093619414,230.83560970200008,99.71409257717394,1.9787415030985438,0,0
116,11.968923189270404,0.14187620396956202,0.8757516765159388,229.98850606299442,100.314875030405,1.851606609893245,0,0
117,12.160973462266846,0.12575933241126092,0.8882893272206793,228.52976659555537,101.00143047601264,1.659556336896804,0,0
118,12.354616159128053,0.10986994045882548,0.9010064725120812,227.0299538374123,101.67938498105379,1.4659136400355963,0,0
119,12.48458181323533,0.09940180263022193,0.9095855560793044,226.0141374791497,102.12071230053743,1.3359479859283194,0,0
120,12.680814521632614,0.08388443079747931,0.9226075876597282,224.45293466338055,102.7710289664548,1.1397152775310315,0,0
121,12.812479750823842,0.07366138465643868,0.9313923498515226,223.46627418492176,103.27444291843044,1.0080500483398076,0,0
122,13.011220678541195,0.05850732279451298,0.9447265771954694,221.76036937444,103.77647216400602,0.8093091206224532,0,0
123,13.144530370226073,0.04852362998180594,0.9537219490392906,220.59650886933045,104.07592899524587,0.6759994289375744,0,0
124,13.345696086314067,0.0337243718735154,0.9673758568617342,218.7943852579276,104.48725434272751,0.4748337128495805,0,0
125,13.48059417811007,0.023974428382762536,0.9765868876036023,217.55194020197425,104.71105892186465,0.3399356210535789,0,0
126,13.684100038722406,0.009521666967944764,0.99056814006128,215.43558832641125,104.6737168801645,0.13642976044124389,0,0
127,13.820529799163651,2.220446049250313e-16,0.9999999999999998,213.82471497332926,104.38516883349129,0.0,0,0
