,H_H,H_B,H_CD,H_WD,B_H,B_B,B_CD,B_WD,CD_H,CD_B,CD_CD,CD_WD,WD_H,WD_B,WD_CD,WD_WD,Time_Gyr
76,0.014637031788829628,0.03669481017889827,0.005350984804252798,0.013116145016717727,0.0007573445881111605,0.046159417359367357,0.0063730914732558095,0.014292121778068625,0.0021465770633362197,0.007088582893244381,0.0010074276444975668,0.0025246673415374858,0.005777448607431275,0.022532049568981975,0.003064338380329187,0.007322343455321488,5.5896241
77,0.01762632325896186,0.039691755284835525,0.006203818508240779,0.016050767659671245,0.0010055036157689437,0.05324941269030121,0.008687404183042098,0.016564155542402106,0.0024392921174275226,0.008237489480552744,0.001373321462111695,0.00300276859655328,0.006576619912600183,0.02548440216132571,0.004171470602458088,0.009343177902149873,5.7388805
78,0.021659789328207585,0.033298782634556386,0.013600510825521158,0.023009015982978314,0.002488943136656581,0.06147910133344118,0.011806855071451417,0.021630276136660256,0.0029466648778524473,0.008266760985961874,0.00245148857801466,0.004315107755729288,0.00847019778217237,0.02585853649845892,0.007513228321205782,0.013092156668117392,5.9302152
79,0.023983214483303046,0.0334004666531088,0.019801049204131213,0.024058657464809678,0.00302386370738558,0.06378238475310934,0.015630342312400965,0.026894923953044634,0.003146686831481504,0.008583868961227452,0.0033881767511068288,0.005293263894817724,0.008991949748922774,0.026604260041180227,0.011050961168928015,0.015716187291140143,6.0871354
80,0.022221784871604793,0.03617982982687476,0.02285922339650863,0.02514438037257899,0.0023970323856722167,0.06642941438145902,0.01997036797388264,0.029723936868343365,0.002988132843848715,0.00922540278811089,0.004234611115854179,0.005573782488321889,0.00863817646415055,0.028088071731987466,0.013814974026932582,0.01703711056305945,6.2070934
81,0.027338787095532682,0.032272102060140084,0.024316694329093218,0.026925490762061584,0.004161718804572008,0.06569412837358411,0.024264438259872134,0.033823156362246004,0.003539412862387335,0.008583868961227452,0.005024941761900697,0.006476320571770072,0.010228883679852993,0.026749332539252293,0.015866350052302452,0.019602603160544352,6.3700838
82,0.027768484077157395,0.03295764915296119,0.027875634978427682,0.028517447009505814,0.00414701308441451,0.06606728602258063,0.028348952033617276,0.03719444270835248,0.003500384188508495,0.008971716407898428,0.00592747984534888,0.006934907489846447,0.010384136704105552,0.02714637306029162,0.018594731068675284,0.0211831298500663,6.5365796
83,0.03621481787626914,0.025246064391131404,0.029927902750716707,0.031608422498190465,0.007803222758572516,0.06402502913570807,0.030898556265923537,0.040427862927982415,0.004717590955104828,0.008056981863863107,0.006505592077179202,0.007515459013794197,0.014038945602903486,0.02458597072589697,0.02021852499446434,0.023066527193457993,6.7066037
84,0.029486178627112676,0.03258480775160234,0.03230599673299089,0.03306698680731863,0.004724212600596317,0.06821432116557538,0.0332165454057492,0.042834086388753065,0.003719920479076972,0.009210767035406325,0.007273969094168872,0.007864277786586332,0.011193488535454954,0.028093161995077717,0.02207392589085967,0.02448416546409201,6.8364491
85,0.024088178631486185,0.03926752518592868,0.035053651986993194,0.03487324485730343,0.002365782730337533,0.07146060889034313,0.03761723216288056,0.045069355852692804,0.003478430559451647,0.009891329536168603,0.00808381407715481,0.00839848276030296,0.009366084086055987,0.031241489716395992,0.024988101510026547,0.02564220031712339,7.0126931
