,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
54,2.243523728229641,0.2566876761756205,-0.022582454336887686,-0.9149971877121262,0.8379959357359354,0.5666867564423523,0.16486208052878326,1.4432635710166277,0.8865279075883943,0.40376623293231856,0.9767264890380924,0.7193880828967684,0.1743288282377504,1.0375518697743729
55,2.38970908764874,0.2678708269437177,0.020081413790006247,-1.1009819062918726,1.0774070440396417,0.715241191137936,0.1834240937044165,1.819241384277632,0.8068851035301836,0.2819762777615885,0.9542243440395042,0.6385469632819594,0.1129914886987973,0.9754072962809429
56,2.545136331266385,0.27954119573086944,0.0034707427670110196,-1.135710576985926,1.1922685253799692,0.7448660075161296,0.20556573279456383,1.710871740042947,0.8030827142172929,0.20723712619140486,0.9401197688802196,0.7105078597787824,0.12597959689078786,0.9689395391404333
57,2.6914781240414243,0.29034101878914165,-0.03835452773936353,-1.2596216936317202,1.1648835146408913,0.697060631756626,0.19030129845472452,2.029840644971079,0.7931090860027128,0.1852579393442304,0.9630123567906391,0.6726191661584047,0.07678746721714713,0.9974593047248798
58,2.845920886458248,0.30155808331261197,-0.06730655634157023,-1.0139998142466984,0.9481720431585732,0.6551470675514797,0.18552263354448556,1.5184029593857198,0.849037817243536,0.32139055847894693,0.9609454345915162,0.6936640885449725,0.14027825146023673,1.0311924152634935
59,2.988012615874371,0.3117279402557108,-0.07957140314021942,-1.0144106277760665,0.763887729881054,0.5551374403875071,0.13962216256191248,1.4087707881613336,0.8919724887509051,0.39393761301754515,0.9767691596854495,0.7627502343062441,0.22222400724638483,1.0336024925820124
60,3.1368772698499368,0.32224076923625916,-0.019846865836887363,-0.8817898042970204,0.8532774666303805,0.5320351724590036,0.14001810512973875,1.3721530598829539,0.9153894687590307,0.5348059442013537,0.982258115595228,0.7831898975928487,0.3331990932680591,1.0676899256199412
61,3.29278934427696,0.3331081367707903,-0.051894516100169985,-0.9059312171337993,0.7663140546204322,0.5149516339009389,0.14699812351957656,1.3127046684493022,0.9196718635996444,0.5934305111049909,0.982754399057044,0.7750714241191321,0.3527443896034346,1.0581058023796326
62,3.4560273421127374,0.344341999449342,-0.02228493925580108,-0.8508039268764781,0.8580686862216949,0.5032947103362343,0.13376854944164288,1.375464108809486,0.9213369188244138,0.6332093763340435,0.9842283235311794,0.7729658423923997,0.3685910177621913,1.0647233363707052
63,3.6019897617620327,0.3542720825792927,0.02319787097937249,-0.6722350673401231,0.9322792430147078,0.47977052414680704,0.12496638484754892,1.2977794787307417,0.9252656024565675,0.6961867015202515,0.9843959453323964,0.8035597126513357,0.4260153198513833,1.082520492991622
64,3.7537195774394347,0.3644885279628326,0.013969168696710525,-0.8396334325653956,0.8832445310635126,0.5382585869284592,0.14997168093051713,1.4132867294442755,0.9160477273059094,0.6856061729439942,0.9805082116138858,0.7720495184007566,0.4236362049234151,1.0565406009765208
65,3.911395417791096,0.3749995936718436,-0.026607510799472718,-0.8056706573654354,0.7987259900459607,0.5058211539086457,0.14258268810585129,1.3155621494706995,0.9242408036164949,0.6967664184425967,0.9831337501469094,0.7939914808700648,0.4157383522052158,1.0552479775001
66,4.047462659359281,0.3839899945738943,-0.026036006629733547,-0.8504977687169787,0.7456097246199386,0.4863112965622062,0.12613558430098534,1.3470200433232211,0.9337784029040208,0.7294057849889758,0.9868693638382056,0.8117093050016222,0.44694198620145903,1.068002886438773
67,4.216501575170758,0.395063440663206,0.03913599280979855,-0.6989918929565964,0.7883750443085455,0.47349513699837864,0.13474669155941899,1.2042416139286398,0.9342166447077611,0.7290362419610222,0.9862975745911539,0.8131661798689866,0.4430709693881317,1.067149407271934
68,4.362284942489244,0.40453486082803386,0.05969547136935219,-0.6479039698180695,0.7913925214349631,0.45501219001633925,0.1265229600494697,1.1637974961512088,0.9301946703095152,0.7382377757243088,0.9850159840301136,0.8170354681489775,0.4492907708903755,1.06124370404949
