,Time_Gyr,ExpansionFactor,zPositionMedian_ckpc,zPosition16thPercentile_ckpc,zPosition84thPercentile_ckpc,zPositionAbsMedian_ckpc,zPositionAbs16thPercentile_ckpc,zPositionAbs84thPercentile_ckpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
76,5.589624137566063,0.4820536500780824,-0.10995266225770187,-2.0396653627724746,1.6369137516881138,1.0532959323956619,0.2738529805385669,3.5286345645552086,0.9546351260655155,0.8567454386692094,0.9910088019343066,0.8562346892037307,0.6071021477061509,1.0713267098847075
77,5.738880497072539,0.4912772627279358,0.05669182013211795,-1.7926526133597664,2.112322445353642,1.0701466240052002,0.2702599443144404,3.8928676152564,0.9578782423342942,0.8634188098639501,0.9920669210747987,0.8666935423933814,0.616601565121216,1.0730429675511621
78,5.930215178562359,0.5030553542792862,-0.05250918208185172,-2.351058526537035,2.0666951943042675,1.17434365672087,0.2883268591120307,4.282778817257276,0.9612614715105519,0.8738691568540884,0.9916338118127671,0.8707229852799674,0.6342296899477384,1.0715423969182556
79,6.087135431528504,0.5126808134549512,0.06814775017440694,-1.9543065125642707,2.2398522806520256,1.1682608358249111,0.28652307467475524,3.7925082645439057,0.966216571922571,0.8833279191000472,0.9921589132928665,0.8959325454459853,0.6561008434829629,1.0861001101831005
80,6.207093384097111,0.5200205801199638,0.14468117904609748,-1.7903744846421128,2.5942149436026916,1.235988038526454,0.30193167768944357,3.8182485449972794,0.9688414802159289,0.8904973737820948,0.9929780912708418,0.8943689300376084,0.6626413843495065,1.068521797526964
81,6.370083836372647,0.5299706518603222,-0.01467563946002885,-2.486236163345571,2.3795618772018092,1.3400376515427528,0.31722332872364284,4.082660449964375,0.9686596729406897,0.8930067627812628,0.9923925863408086,0.8976587601732947,0.6767084703888908,1.0710086812382993
82,6.536579634205232,0.5401111082343341,0.040099656392745466,-2.1712057249122934,2.4287663862374966,1.2880658613189904,0.3128214154675831,3.8818327135053874,0.9700906513878019,0.8967763358441444,0.9925492816838527,0.9118189279610265,0.6857348626471642,1.0891930035345379
83,6.706603691236406,0.5504455920608321,0.07543383968317674,-1.9137886268424278,2.115709185738478,1.1783043519354988,0.2979396687231891,3.455399879711235,0.9738534896983566,0.9043371155713177,0.99407221915509,0.9139100417076934,0.6990818275492977,1.0911024814347716
84,6.836449148310662,0.5583260161014446,-0.09158701380946474,-2.250627018333965,1.9598523744320742,1.2087571212442274,0.30496047972459767,3.6490020325021297,0.9736703932402863,0.906033654793096,0.994006350477767,0.9201573734248005,0.7129781737488496,1.0909068938980526
85,7.012693145756433,0.5690090239036288,-0.07912022050602599,-2.9903431614113094,2.223838068540864,1.4297679603236515,0.33727605867229854,4.431906176634358,0.9679648859408527,0.9054409786599534,0.9917404062451355,0.9244637119960613,0.7152805136084195,1.0950800022324962
86,7.147221247683246,0.5771552102951079,-0.23757618988430423,-3.308328046430355,2.2270003129185567,1.5519603743044952,0.3557767514388591,4.94831380541102,0.965412888484337,0.9025416841580486,0.9912826669466153,0.9043287891597843,0.6977227444292213,1.0678018908106548
87,7.329727457563047,0.5881984958251407,-0.027581361301747,-2.9637823677733204,2.519132602494928,1.506530897362608,0.35227629195016813,4.727218849483622,0.9675543740181313,0.902914698040787,0.9924309208570252,0.9086449550709952,0.7080205755154623,1.0714898162657913
88,7.468962790806977,0.596619407235837,0.004088772277625569,-2.838553596449486,2.8858511767867006,1.5629111535302644,0.35889552397166524,4.7832889442052124,0.9655797409060154,0.9016959703660005,0.991698562342798,0.928528643636828,0.7212833226266583,1.0917761136165338
89,7.657754221443944,0.6080351206337894,-0.05476719086368673,-2.9674008165846266,2.5607488628428645,1.578608831601326,0.3665234849068667,4.515172809349781,0.9675403657586127,0.9078342535561599,0.9911764760438954,0.8943006951616543,0.6869542567261876,1.0802021967027515
90,7.80170653839661,0.616740021992414,-0.3098532502956489,-3.0347132823741734,1.4908343032953915,1.2990515319257057,0.318273389594937,4.004589770383379,0.9748032471044743,0.9148671463351475,0.9940220330064018,0.8923261097143484,0.6859895078827308,1.0966696987459015
91,7.947679589081643,0.6255695465925124,-0.03057623144553616,-2.171529899837993,2.1141136530830047,1.2353715201172673,0.30567075789303416,3.716581844100218,0.9752827050641995,0.9145729220388742,0.9942349381719975,0.898760479956142,0.6786815631656872,1.110052039079296
92,8.095671082722221,0.6345254785958663,0.09740017846425301,-2.068684027441286,2.7538879806761836,1.345842401033155,0.3212214516325477,4.140489912753371,0.9735083424281887,0.9128963929271091,0.9939009519712825,0.8904690640104249,0.6653708581258082,1.1199875621302626
