Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
101.0,9.573131331020738,0.38016786726023866,0.7245495448210172,25980325888.0,6950719488.0,6810817024.0,5240788992.0,6978002944.0
102.0,9.741541799560094,0.36068765726181673,0.7349225185244588,26812502016.0,7658212352.0,6089833984.0,6034909696.0,7029546496.0
103.0,9.854874595547287,0.3478538418581776,0.7419202059930923,27297824768.0,7308349952.0,6531179520.0,6314062848.0,7144229376.0
104.0,10.026449669104903,0.32882972420595435,0.7525418658117033,28277698560.0,7087172096.0,6739437056.0,6933877248.0,7517211136.0
105.0,10.19989947196752,0.31007412012783386,0.7633155900388464,29357932544.0,7137594368.0,6815086592.0,7520596992.0,7884650496.0
106.0,10.375204641492832,0.29158323972192446,0.7742435556962617,30329255936.0,6883244032.0,7129332736.0,8451380224.0,7865295360.0
107.0,10.552344763553133,0.2733533465784399,0.7853279709729014,31180290048.0,7038411776.0,7161402880.0,9017540608.0,7962939392.0
108.0,10.67144705609926,0.2613432561610123,0.7928056023731169,31834269696.0,6900081664.0,7285243904.0,9480528896.0,8168410624.0
109.0,10.85159733936031,0.24354018155467028,0.8041557601699713,32662605824.0,6861276160.0,7418894848.0,9845453824.0,8536980992.0
110.0,11.033523308792786,0.22598838626019768,0.8156684118765909,33316409344.0,6691819520.0,7563832832.0,10506654720.0,8554097152.0
111.0,11.155782009390867,0.21442503551449454,0.823434934850752,33823043584.0,6713422848.0,7540011520.0,10977511424.0,8592107520.0
112.0,11.340613907183545,0.19728418237600986,0.8352235958012078,34680111104.0,6828456960.0,7493059072.0,11631253504.0,8727344128.0
113.0,11.527155884914245,0.1803852617057493,0.8471810284677068,35434283008.0,6646807552.0,7679454720.0,12304208896.0,8803807232.0
114.0,11.652454415336605,0.1692520332436107,0.8552476040823377,35827101696.0,6652083712.0,7658824704.0,12623338496.0,8892868608.0
115.0,11.841788296065106,0.15274876890238098,0.8674917093619414,36515999744.0,6375498752.0,7905629696.0,13119469568.0,9115399168.0
116.0,11.968923189270404,0.14187620396956202,0.8757516765159388,37051473920.0,6477760000.0,7769704960.0,13623826432.0,9180167168.0
117.0,12.160973462266846,0.12575933241126092,0.8882893272206793,37782847488.0,6594159104.0,7701307392.0,14285573120.0,9201808384.0
118.0,12.354616159128053,0.10986994045882548,0.9010064725120812,38490824704.0,6579586560.0,7735563776.0,14971575296.0,9204093952.0
119.0,12.48458181323533,0.09940180263022191,0.9095855560793044,39055503360.0,6761753088.0,7790367744.0,15261530112.0,9241853952.0
120.0,12.680814521632618,0.08388443079747931,0.9226075876597282,39700676608.0,6616628224.0,7972700160.0,15700595712.0,9410757632.0
121.0,12.812479750823842,0.07366138465643868,0.9313923498515226,40208375808.0,6468167168.0,7999381504.0,16285644800.0,9455170560.0
122.0,13.011220678541196,0.058507322794512984,0.9447265771954694,41007685632.0,6432903680.0,8045416448.0,17048852480.0,9480510464.0
123.0,13.144530370226075,0.04852362998180593,0.9537219490392906,41410490368.0,6724289024.0,7801491968.0,17128214528.0,9756491776.0
124.0,13.345696086314069,0.0337243718735154,0.9673758568617342,42007482368.0,6674052096.0,7831876608.0,17712683008.0,9788867584.0
125.0,13.48059417811007,0.023974428382762536,0.9765868876036025,42345648128.0,6700032000.0,7814919168.0,17997389824.0,9833319424.0
126.0,13.684100038722406,0.009521666967944764,0.99056814006128,42950139904.0,6269415424.0,8247226880.0,18617186304.0,9816307712.0
127.0,13.82052979916365,2.220446049250313e-16,0.9999999999999998,43369340928.0,6226042880.0,8266233856.0,18960441344.0,9916627968.0
