SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2,SFR_H_Msun/yr,SFR_B_Msun/yr,SFR_CD_Msun/yr,SFR_WD_Msun/yr
75,3.0722313,10.7482985,2.1476974,0.3176925,219.873,37.3628855,0,0,219.873,37.3628855,-17197.793,0.9274944411114712,1.7602587938232757,1.6369207034735043,2.0690495699855513
76,3.1368773,10.6836525,2.1032697,0.3222408,220.217,37.6493227,0,0,220.217,37.6493227,-19588.842,1.353053809690863,2.2190170292590006,1.0775760721809964,1.6025965698187052
77,3.1806923,10.6398375,2.074,0.325309,219.948,37.5867295,0,0,219.948,37.5867295,-24244.904,0.3625646627293397,1.6444252707868001,1.8325640102653076,1.8562479163969354
78,3.2475077,10.5730221,2.0306125,0.3299663,219.314,37.3777823,0,0,219.314,37.3777823,-19063.445,0.19655959854203847,1.2908688912475106,2.119745121056497,1.7985431178129376
79,3.2927893,10.5277405,2.0020281,0.3331081,218.718,37.1561336,0,0,218.718,37.1561336,-22897.328,0.10252203808649249,0.7884920925462603,2.3869740135478943,1.658868913914072
80,3.3618351,10.4586947,1.9596564,0.3378771,217.873,36.8489455,0,0,217.873,36.8489455,-15905.064,0.07895666737059974,0.5778749543949324,2.7862970051581595,1.1326820677640157
81,3.408624,10.4119058,1.9317413,0.3410942,217.214,36.6004723,0,0,217.214,36.6004723,-14915.59,0.07311821612627611,0.3565653390143476,3.1599915397883866,1.0494042280229072
82,3.4799615,10.3405683,1.8903616,0.3459775,216.874,36.5558184,0,0,216.874,36.5558184,-12812.17,0.10357479478203342,0.48352473305792754,3.233000921417508,0.7111921229232254
83,3.5282988,10.292231,1.8631001,0.3492718,216.514,36.4665752,0,0,216.514,36.4665752,-10322.976,0.1348436350814501,0.3326950132217443,3.610777782907382,0.9556532024130581
84,3.6019898,10.21854,1.8226893,0.3542721,216.498,36.5989244,0,0,216.498,36.5989244,-10499.898,0.07412773503219312,0.5072044775165024,3.262673007648431,0.9349173202152887
85,3.6519167,10.1686131,1.796066,0.3576453,216.581,36.737851,0,0,216.581,36.737851,-11296.569,0.11057822825472215,0.3504177562480079,3.4149384856045146,1.1583762697409137
86,3.7024911,10.1180387,1.7696939,0.3610507,216.753,36.9224728,0,0,216.753,36.9224728,-14938.006,0.12375124825075925,0.31997795989528466,3.6301310504867943,1.4803127580253341
87,3.7795811,10.0409487,1.7306014,0.3662197,217.053,37.2334773,0,0,217.053,37.2334773,-19983.586,0.1761297355048886,0.35962831062091205,3.769687806781977,1.7887725324310817
88,3.8318031,9.9887267,1.7048468,0.3697067,217.537,37.5867548,0,0,217.537,37.5867548,-16851.6,0.12987630328158895,0.3271514000502252,4.923590309062474,1.5524607900666747
89,3.8846956,9.9358342,1.679335,0.3732269,218.118,38.0021808,0,0,218.118,38.0021808,-21557.672,0.13421404279910304,0.31171561468241965,4.76387407399108,1.3742163931350349
90,3.9382653,9.8822645,1.6540639,0.3767807,218.756,38.4518529,0,0,218.756,38.4518529,-23865.977,0.09253949191168691,0.30140487118129977,4.937347611765061,0.8901312465602558
91,4.019904,9.8006258,1.6166035,0.3821748,220.534,39.5819901,0,0,220.534,39.5819901,-29432.412,0.06307669967620468,0.3511823764234516,4.312814776779816,0.7297060002794803
92,4.0751955,9.7453343,1.591924,0.3858138,223.316,41.2342769,0,0,223.316,41.2342769,-25168.365,0.07128933660288687,0.30274483642882516,4.026444304075576,0.7655054150209799
93,4.1311871,9.6893427,1.5674774,0.3894874,226.806,43.339875,0,0,226.806,43.339875,-17576.061,0.06848406459810162,0.2833954244342082,3.934532430008378,0.7832954740028347
94,4.1878854,9.6326444,1.5432613,0.3931959,228.509,44.4734288,0,0,228.509,44.4734288,-20119.316,0.04995368806412914,0.2747161520788406,3.8955426522783734,0.666168002001204
95,4.2452968,9.575233,1.5192736,0.3969398,229.607,45.2742845,0,0,229.607,45.2742845,-16534.17,0.06292891836437997,0.19933919484898047,3.5267530648213254,0.6527469914682442
96,4.3034279,9.5171019,1.4955122,0.4007193,230.815,46.158988,0,0,230.815,46.158988,-18482.422,0.05425881593942232,0.15988796526811905,3.532795860373902,0.5903731794401585
97,4.3622849,9.4582449,1.4719748,0.4045349,233.052,47.6855396,0,0,233.052,47.6855396,-14455.031,0.0286470018693531,0.1848596646395949,3.722339503811881,0.569595408777452
98,4.4218744,9.3986554,1.4486595,0.4083867,237.869,50.8930712,0,0,237.869,50.8930712,-20782.4,0.062037126423014094,0.15916842031252634,3.84647817817784,0.5536443476113855
99,4.4822025,9.3383272,1.4255641,0.4122752,240.861,53.0412181,0,0,240.861,53.0412181,-23644.18,0.06609322992296915,0.18476996247537736,4.318087419115184,0.8136302413484658
100,4.5432757,9.2772541,1.4026865,0.4162008,245.386,56.3114612,0,0,245.386,56.3114612,-25170.102,0.052194554858534234,0.20163196967783154,4.700022399686184,2.246770286957487
101,4.6051001,9.2154297,1.3800247,0.4201637,250.82,60.3752986,0,0,250.82,60.3752986,-17262.301,0.06363515241903345,0.23590444628357746,5.480165215213568,2.1316412115956527
102,4.6676818,9.152848,1.3575767,0.4241644,253.325,62.4603231,0,0,253.325,62.4603231,-16371.389,0.22407467092301522,0.18077811561128143,4.127914273799218,2.7498451981051133
103,4.731027,9.0895028,1.3353403,0.4282031,255.306,64.2057849,0,0,255.306,64.2057849,-18622.18,0.9644317134491235,0.13721599352941494,3.2700574922894017,2.6351026093497225
104,4.7951418,9.025388,1.3133137,0.4322803,258.472,66.9147603,0,0,258.472,66.9147603,-16449.047,1.2109989409055093,0.1509947366058413,3.3460188122000485,2.4964746111487828
105,4.860032,8.9604978,1.2914949,0.4363963,261.541,69.6375097,0,0,261.541,69.6375097,-23820.488,0.7439724202186596,0.17900852314794363,4.236348255410292,3.691867000651349
106,4.9257036,8.8948262,1.2698818,0.4405516,266.919,74.3641881,0,0,266.919,74.3641881,-18038.613,0.7632485836064549,0.41259200023290465,5.773305281771435,3.4454812569105178
107,4.9588342,8.8616956,1.2591519,0.442644,268.741,76.0750097,0,0,268.741,76.0750097,-23806.359,1.3467546963543453,0.5232355286311253,6.381810745209649,3.7318195376394163
108,5.0256886,8.7948412,1.2378439,0.4468587,270.569,77.9992675,0,0,270.569,77.9992675,-20961.824,1.107589086241402,0.7989774282463933,3.6722916730458697,4.150485808542876
109,5.0933388,8.727191,1.2167368,0.4511135,271.655,79.3204013,0,0,271.655,79.3204013,-19305.764,1.281450665857081,0.9468425613620484,3.7268735860435593,3.8404508679304867
110,5.1617902,8.6587396,1.1958289,0.4554089,272.568,80.5208066,0,0,272.568,80.5208066,-16387.086,0.45306595169920877,0.6379908329251923,3.5901354544149484,3.7860113727740963
111,5.1963181,8.6242117,1.185449,0.4575719,272.916,81.0320785,0,0,272.916,81.0320785,-19834.781,0.2946542258455845,0.4014631320823054,3.688426115363312,3.755908242791311
112,5.2659816,8.5545482,1.1648361,0.4619287,273.404,81.887844,0,0,273.404,81.887844,-15252.205,0.2573745492681567,0.5303847077966334,4.081996228980441,2.6613795030952256
113,5.3364599,8.4840699,1.1444177,0.4663271,273.705,82.5832086,0,0,273.705,82.5832086,-23226.953,0.2262383222332433,0.5800267158357758,4.756744122256763,3.220450506370219
114,5.4077582,8.4127716,1.1241918,0.4707673,273.671,83.0078519,0,0,273.671,83.0078519,-24982.328,0.25511649935532926,0.5380776652285651,5.658973100945364,3.1691742136851655
115,5.4437164,8.3768134,1.1141506,0.4730032,273.576,83.1380256,0,0,273.576,83.1380256,-22097.127,0.3782758332524878,0.3466199381957664,5.636829457599672,2.4269648767604672
116,5.516254,8.3042758,1.0942102,0.477507,273.167,83.2318197,0,0,273.167,83.2318197,-21200.615,0.22963988973131821,0.26022694983330275,5.186485369599369,1.829885358935826
117,5.5896241,8.2309057,1.0744579,0.4820537,272.985,83.534637,0,0,272.985,83.534637,-22900.338,0.2355877712786723,0.21668669049050607,4.424755859706706,1.5979253654357495
118,5.6266228,8.193907,1.0646517,0.4843432,272.877,83.6777233,0,0,272.877,83.6777233,-20017.793,0.21104402695047336,0.2567153110357385,4.5802789257034835,2.1701185874174698
