,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
96,8.760179450310375,0.6748399031346985,0.011813112407685797,-1.0530057457104935,1.0036496554201317,0.5656213029039568,0.13380795071458956,1.8253133552187084,0.9567284701613977,0.7724869904247251,0.9907319186228009,0.8543067270995989,0.5571517071028967,1.0489260580669109
97,8.918845098217659,0.684501211487295,0.014187965827668531,-1.0517822991960128,1.1104375522285055,0.5870831902309712,0.13704871267958127,1.8791825290698598,0.9584921677328037,0.7883748665693923,0.9907616906116029,0.8520451294059425,0.5664607201969777,1.0472778556025173
98,9.079485288786328,0.6943008354294861,0.0030593188205990315,-1.0579919272280354,1.0840765767618377,0.5951608105938812,0.14354277310300081,1.8968665083477254,0.9569266751664669,0.7875395102294954,0.991127467893749,0.8614552877344573,0.5706394438748758,1.058682699396564
99,9.242088459951992,0.7042407551488017,0.05300385447645488,-0.8965362740298116,1.2436277389271402,0.5855852011159017,0.14533013616389054,1.9299234243139607,0.9564295445672244,0.795110898448098,0.9911296617661867,0.8619542862392862,0.5795747167719228,1.056475410173933
100,9.406641813093389,0.7143229791820179,0.006175193447209185,-1.1720222257694646,1.3216680291237235,0.6846425356727992,0.16515184246732656,2.254149737881299,0.943294854770429,0.787866667035994,0.9860665498009785,0.844605939526952,0.5710989696286577,1.0575686464071705
101,9.573131331020738,0.7245495448210172,-0.0221651878986016,-1.3496630276771897,1.262974383423044,0.6920014270631709,0.157878025620065,2.4950703552576687,0.9373628649162984,0.7904238955282242,0.9851960741680751,0.85462711951401,0.5839786477047799,1.068653740543437
102,9.741541799560094,0.7349225185244588,0.08891376246338341,-0.9310033950464611,1.765196703138885,0.6767901300078194,0.15279820955778092,2.6203516161048417,0.9253363112790167,0.7649473979381447,0.9838516970845549,0.8398397695526911,0.5529815666824741,1.1017001860214881
103,9.854874595547287,0.7419202059930923,-0.07667511241930836,-2.2543510037162715,1.0860173316316795,0.7250615788874637,0.15194009446271667,3.274882825874544,0.9264132549342446,0.7610761920778576,0.9837911879842521,0.7632959578977546,0.5318244153664918,1.016654629988731
104,10.026449669104903,0.7525418658117033,0.007223011250554337,-1.382169390408777,1.2504034344394943,0.6651413011270442,0.14318395810893186,2.6007133765667287,0.9338621517839254,0.7806333227092558,0.9860398043463623,0.791820508235159,0.5447644381224611,1.0473609362442615
105,10.19989947196752,0.7633155900388464,-0.010230336468333354,-1.2970921375534228,1.2513932794211975,0.6515265593032216,0.14526397423460646,2.444387226776984,0.9352610932662342,0.7840630867070911,0.9862263362861602,0.7927301842115159,0.5395011889985732,1.045481492633928
106,10.375204641492832,0.7742435556962617,0.05680907680144404,-1.0980650419754574,1.5404490087050005,0.6916648400282868,0.16328149362300523,2.5471934606664304,0.9254943836642767,0.7698656819432043,0.9831297971395346,0.7766327781217013,0.5193722942344873,1.0453868815703837
107,10.552344763553133,0.7853279709729014,-0.00582711254369811,-1.2590814968396051,1.3557479560648387,0.6597949652261532,0.14689785147181292,2.5362900276339766,0.9325588894284664,0.7823258166453272,0.9853024289145131,0.7802481602176707,0.5205411829086333,1.0544916040129875
108,10.67144705609926,0.7928056023731169,0.02833399056328135,-1.1041769497932237,1.3401115517551372,0.6212631816138028,0.1362439864820094,2.3153443732158037,0.9346171968659243,0.7823285998611147,0.9865506785598751,0.7757527156635156,0.5108330803763957,1.0388379219161112
109,10.85159733936031,0.8041557601699713,0.047455055978527914,-0.9847698050033825,1.4274472117603125,0.6099262256426811,0.13398063910651437,2.34968010917433,0.9388590113452839,0.7888671353444169,0.9880823901451108,0.7793475373946838,0.5205232407682174,1.0446330883533261
110,11.033523308792786,0.8156684118765909,0.0020066781195005835,-1.182700714489851,1.1260513673216521,0.6003630669282748,0.13643428507938188,2.2073548290920972,0.9394177175833958,0.7880865336685307,0.9882614473689041,0.7784714999872413,0.525331077404796,1.0524716534315228
111,11.155782009390867,0.823434934850752,-0.017087483011587048,-1.2499798937751878,1.0845506473197546,0.6028875634852744,0.13380877685647938,2.235616251037087,0.9394405021329104,0.7902847206515418,0.9878914780356164,0.7762682315162948,0.5225063777473277,1.0525624421961925
112,11.340613907183545,0.8352235958012078,0.034131380314005026,-1.1228546969540114,1.2679145384862975,0.6262939661082667,0.14563465693402863,2.292022640425415,0.9369748199047038,0.7872664902090717,0.9872858348963995,0.7717574623725801,0.5178719970221619,1.0475292134354048
113,11.527155884914245,0.8471810284677068,-0.005312287111619603,-1.1650236909786744,1.1885625565448439,0.6161588745169969,0.14087713461799273,2.2436388517879693,0.937208619009058,0.7843849846649185,0.9871045409694761,0.7784906863846079,0.521723383926951,1.0588570985759618
114,11.652454415336605,0.8552476040823377,-0.004238126597292649,-1.1781074550943211,1.1275385738914605,0.6049577891529696,0.13899636844635688,2.215808902713739,0.9366158081380687,0.782057497642968,0.9869899230511384,0.7682486334250416,0.5139625401388408,1.04568230587871
115,11.841788296065106,0.8674917093619414,-0.005261010446796844,-1.1225044350460542,1.0850310680674262,0.5734486493768391,0.1314534930852889,2.1357413226042348,0.9379003774857786,0.7821919580662455,0.9876730253303942,0.7745718953237577,0.5125532801020359,1.0662756213860893
116,11.968923189270404,0.8757516765159388,0.004762722619831592,-1.082084783469064,1.140984157357415,0.5722676107813783,0.12841629535641583,2.1798030600097698,0.9379711053263746,0.7810530187882354,0.9879744638813556,0.7728208098619719,0.5221971442588094,1.066505639969233
117,12.160973462266846,0.8882893272206793,0.0005989740041255837,-1.138534049273091,1.150581405796293,0.5803913452696868,0.12770813489911675,2.2854751892752656,0.9359078448734759,0.7766862887450318,0.9879551884731393,0.7591515979398781,0.5134326007309159,1.0606804782773438
118,12.354616159128053,0.9010064725120812,0.0045938223427963235,-1.1243968175127275,1.1314272294328729,0.5679269552236188,0.12447219800219105,2.257927225177099,0.9363962753588057,0.7770125351616821,0.9880938285787203,0.76554447525369,0.5189433142431249,1.0572192381240364
119,12.48458181323533,0.9095855560793044,-0.00397876778441154,-1.1312420124432812,1.106610670618661,0.5674673044720282,0.1236636194917602,2.2360921924062436,0.93640418960363,0.7784519898602545,0.9882436174779994,0.7508891299484592,0.516169812339339,1.046270044918159
120,12.680814521632618,0.9226075876597282,0.004361500404576081,-1.1389959067550997,1.1255725029085326,0.5679549571388367,0.12491155120215908,2.2887095503823542,0.9357729139107192,0.7761614679565555,0.9882753482611497,0.7552394982230335,0.5091598848801852,1.06245927718452
121,12.812479750823842,0.9313923498515226,0.006470529248406004,-1.1088642752327438,1.1648006320440065,0.5695675251630175,0.12397785612762911,2.2856443805037125,0.9349916808358318,0.7729384325735588,0.988033083463833,0.7493041861990035,0.5030717170608625,1.062349793854763
122,13.011220678541196,0.9447265771954694,-0.0013894015625720197,-1.1704813802728027,1.1121086628534826,0.5747188166842924,0.12609184167224624,2.2702007530104633,0.9334283738735626,0.7696556463681211,0.9876516672765855,0.7469157205760839,0.5042084203101542,1.0559789829711281
123,13.144530370226075,0.9537219490392906,9.002591562907575e-05,-1.1432110711056938,1.1679953411266444,0.5846866953203771,0.12653537171708876,2.2871245755780305,0.9319016511338183,0.7624633091600241,0.9873584893036772,0.7400588552151137,0.4907903690272721,1.0544260889810213
124,13.345696086314069,0.9673758568617342,-0.00419674418263226,-1.1352145813539098,1.1311461371623925,0.5702379584319858,0.12575513853023487,2.265574913754886,0.9317993869568248,0.7658342265305562,0.9874663701349532,0.7359517580085483,0.4944683851795342,1.0643685212234397
125,13.48059417811007,0.9765868876036025,0.002409339944994279,-1.1366220426794058,1.1566557055738804,0.5748817985167975,0.12311463398890954,2.3088567357235887,0.9313870292268267,0.7621361222965927,0.9873833531601353,0.7291757926700178,0.4872170968665125,1.0552987971478485
126,13.684100038722406,0.99056814006128,0.0016199240521731547,-1.1485843795548547,1.1339514443388732,0.5704848688005599,0.12209785024186928,2.286189239198955,0.9308461835941051,0.7623947534813459,0.9872868391613118,0.7169812832966883,0.4890726543448491,1.0373399551305247
127,13.82052979916365,0.9999999999999998,0.0073845181172008025,-1.1888817648031715,1.1902914216231435,0.5937378931197785,0.12285828859610531,2.442766667366596,0.9310688501804083,0.7726495255169937,0.9869492447369941,0.6487983253907237,0.5052094398933069,0.7437308446504722
