SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2
72,2.9060054,10.914524400000001,2.2693058999999995,0.30587529999999996,216.9620504,35.634560799999996,0,0,216.9620504,35.634560799999996,-24423.560546875
73,2.9673055,10.8532243,2.2231617000000004,0.31025440000000004,218.3215807,36.4040692,0,0,218.3215807,36.4040692,-15666.4853515625
74,3.008858,10.811671800000001,2.1927613,0.3132085,219.0702227,36.8511154,0,0,219.0702227,36.8511154,-12843.0791015625
75,3.0722313,10.7482985,2.1476973999999998,0.31769250000000004,219.87302090000003,37.3628855,0,0,219.87302090000003,37.3628855,-18305.029296875
76,3.1368772999999996,10.683652499999999,2.1032697,0.3222408,220.21671290000003,37.6493227,0,0,220.21671290000003,37.6493227,-22558.658203125
77,3.1806923,10.6398375,2.074,0.325309,219.94819730000003,37.5867295,0,0,219.94819730000003,37.5867295,-23448.41796875
78,3.2475077000000003,10.5730221,2.0306125,0.3299663,219.3137381,37.3777823,0,0,219.3137381,37.3777823,-21935.45703125
79,3.2927892999999995,10.5277405,2.0020281000000004,0.33310809999999996,218.7184392,37.156133600000004,0,0,218.7184392,37.156133600000004,-20305.873046875
80,3.3618351000000004,10.458694699999999,1.9596563999999999,0.3378771,217.87291869999999,36.8489455,0,0,217.87291869999999,36.8489455,-17074.390625
81,3.4086239999999997,10.411905800000001,1.9317413,0.3410942,217.2138991,36.6004723,0,0,217.2138991,36.6004723,-16322.9404296875
82,3.4799615,10.340568300000001,1.8903616,0.3459775,216.8735933,36.5558184,0,0,216.8735933,36.5558184,-15880.2255859375
83,3.5282988,10.292231,1.8631001,0.34927179999999997,216.51385019999998,36.4665752,0,0,216.51385019999998,36.4665752,-14222.23828125
84,3.6019898,10.218539999999999,1.8226893,0.3542721,216.49848070000002,36.5989244,0,0,216.49848070000002,36.5989244,-14151.4013671875
85,3.6519167,10.1686131,1.796066,0.3576453,216.5809571,36.737851,0,0,216.5809571,36.737851,-12367.732421875
86,3.7024911,10.1180387,1.7696938999999998,0.3610507,216.7526381,36.922472799999994,0,0,216.7526381,36.922472799999994,-16538.419921875
87,3.7795811,10.0409487,1.7306013999999998,0.36621970000000004,217.05253030000003,37.2334773,0,0,217.05253030000003,37.2334773,-17804.064453125
88,3.8318031,9.988726699999999,1.7048468,0.3697067,217.53672459999999,37.586754799999994,0,0,217.53672459999999,37.586754799999994,-18204.97265625
